supplier_code,company_type,company_type_position,company_name,postal_code,address,phone,fax,email,contact_person,payment_terms,notes
SUP-025,株式会社,前,堂本,〒616-8045,京都府京都市右京区花園内畑町10,075-464-0555,075-464-0051,,白井様,,
SUP-026,株式会社,後,堂本製紐工業,〒616-8015,京都府京都市右京区谷口園町24,075-462-5053,075-461-6608,,加藤様,,
SUP-027,株式会社,前,土本ﾄﾘﾐﾝｸﾞ,〒915-0024,福井県越前市上大坪町18-43-1,0778-27-1576,0778-27-1576,,社長　土本様,,
SUP-028,株式会社,前,ナリカワ,,　,,,,,,
SUP-029,株式会社,後,西中製紐,〒711-0903,岡山県倉敷市児島田の口4-9-36,086-477-7700,086-477-7789,,社長様,,
SUP-030,株式会社,後,西田ﾏｰｸ,〒500-8384,岐阜県岐阜市薮田南7-6,0588-255-3755,058-255-3756,,西田様,,
SUP-031,株式会社,前,紐屋,〒925-0005,石川県羽咋市滝町イ94-1,0767-22-4764,0767-22-5939,,磯見様,,
SUP-032,株式会社,後,二渡ﾚｰｽ,〒326-0141,栃木県足利市小俣町1462-5,0284-62-2129,0284-62-6469,,二渡様,,
SUP-033,株式会社,前,二口製紐,〒929-1215,石川県かほく市高松サ49-66,076-281-0632,076-282-5856,,専務　二口様,,
SUP-034,有限会社,前,丸将,〒617-0814,京都府長岡京市今里22-28,075-952-5415,075-952-9591,,社長　丸山様,,
SUP-035,株式会社,前,丸進,〒602-8465,京都府京都市上京区松屋町,075-432-2131,075-432-2138,,二口様,,
SUP-036,有限会社,前,ミニ・ワールド マミや,〒603-8376,京都府京都市北区衣笠北天神森町,075-463-5370,075-464-5353,,間宮様,,
SUP-037,有限会社,後,宮谷産業,〒910-0235,福井県坂井市丸岡町巽町3丁目101,0776-66-0788,0776-67-1589,,高岡様,,
SUP-038,株式会社,後,高島ﾘﾎﾞﾝ,〒916-0016,福井県鯖江市神中町2-6-36,0778-52-3800,0778-52-7962,,,,※輸出物(全て輸出単価で御願い致します｡)
SUP-039,株式会社,前,浦瀬産業,〒603-8436,京都府京都市北区紫竹西栗栖町5番,075-493-5555,075-493-0831,,木村様,,
SUP-040,株式会社,前,ティーワイ通商,〒567-0895,大阪府茨木市玉櫛2-17-21,0726-32-5489,0726-32-5460,,山上様,,
SUP-041,有限会社,前,織元すみや,〒920-0061,石川県金沢市問屋町2-87,0761-58-0608,0761-58-0602,,,,
SUP-042,株式会社,後,溝呂木,〒103-0002,東京都中央区日本橋馬喰町1－14－4,03-3662-5551,03-3639-2253,,営業1課　藤ノ木様,,
SUP-043,株式会社,後,フロリア,〒103-0013,東京都中央区日本橋人形町1-2-6サイボービル７F,03-3639-0710,03-3639-0711,,菊地様,,廃業（２０２５．9月末）
